freetime,,Z-Score,Min-Max,,,,,,,,,,,,,G3,,Z-Score,Min-Max,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,6,,-1.65,0.07,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,6,,-1.65,0.07,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,10,,-0.57,0.33,,,,,,,,,,,
2,,-1.25,0.25,,,,,,,,,,,,,15,,0.79,0.67,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,10,,-0.57,0.33,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,15,,0.79,0.67,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,11,,-0.29,0.40,,,,,,,,,,,
1,,-2.23,0,,,,,,,,,,,,,6,,-1.65,0.07,,,,,,,,,,,
2,,-1.25,0.25,,,,,,,,,,,,,19,,1.88,0.93,,,,,,,,,,,
5,,1.69,1,,,,,,,,,,,,,15,,0.79,0.67,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,9,,-0.84,0.27,,,,,,,,,,,
2,,-1.25,0.25,,,,,,,,,,,,,12,,-0.02,0.47,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,14,,0.52,0.60,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,11,,-0.29,0.40,,,,,,,,,,,
5,,1.69,1,,,,,,,,,,,,,16,,1.07,0.73,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,14,,0.52,0.60,,,,,,,,,,,
2,,-1.25,0.25,,,,,,,,,,,,,14,,0.52,0.60,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,10,,-0.57,0.33,,,,,,,,,,,
5,,1.69,1,,,,,,,,,,,,,5,,-1.93,0.00,,,,,,,,,,,
1,,-2.23,0,,,,,,,,,,,,,10,,-0.57,0.33,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,15,,0.79,0.67,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,15,,0.79,0.67,,,,,,,,,,,
5,,1.69,1,,,,,,,,,,,,,16,,1.07,0.73,,,,,,,,,,,x
4,,0.71,0.75,,,,,,,,,,,,,12,,-0.02,0.47,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,8,,-1.11,0.20,,,,,,,,,,,
2,,-1.25,0.25,,,,,,,,,,,,,8,,-1.11,0.20,,,,,,,,,,,
2,,-1.25,0.25,,,,,,,,,,,,,11,,-0.29,0.40,,,,,,,,,,,
2,,-1.25,0.25,,,,,,,,,,,,,15,,0.79,0.67,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,11,,-0.29,0.40,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,11,,-0.29,0.40,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,12,,-0.02,0.47,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,17,,1.34,0.80,,,,,,,,,,,
5,,1.69,1,,,,,,,,,,,,,16,,1.07,0.73,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,12,,-0.02,0.47,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,15,,0.79,0.67,,,,,,,,,,,
5,,1.69,1,,,,,,,,,,,,,6,,-1.65,0.07,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,18,,1.61,0.87,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,15,,0.79,0.67,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,11,,-0.29,0.40,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,13,,0.25,0.53,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,11,,-0.29,0.40,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,12,,-0.02,0.47,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,18,,1.61,0.87,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,11,,-0.29,0.40,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,9,,-0.84,0.27,,,,,,,,,,,
2,,-1.25,0.25,,,,,,,,,,,,,6,,-1.65,0.07,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,11,,-0.29,0.40,,,,,,,,,,,
2,,-1.25,0.25,,,,,,,,,,,,,20,,2.15,1.00,,,,,,,,,,,
3,,-0.27,0.5,,,,,,,,,,,,,14,,0.52,0.60,,,,,,,,,,,
4,,0.71,0.75,,,,,,,,,,,,,7,,-1.38,0.13,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,1,,,,,,,,,,,,,,,MIN,5,,,,,,,,,,,,,
MAX,5,,,,,,,,,,,,,,,MAX,20,,,,,,,,,,,,,
MAX-MIN,4,,,,,,,,,,,,,,,MAX-MIN,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freetime,Number,,freetime,Number,,,,,,,,,,,,Mean,12.08,,,,,,,,,,,,,
1,2,,1,50,,,,,,,,,,,,STDEV,3.68,,,,,,,,,,,,,
2,9,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,
3,18,,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15,,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,50,,Total,50,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDEV,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
